id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,number_of_reviews_ltm
1150775760217157894,Private Master Bedroom,8699695,Ning,Outer Richmond,37.78340733,-122.47870403,private room,0.00,3,0,,,6,0,2024-003819str,0
166771,DOWNEY STREET - Victorian Flat,794467,Patti,Haight Ashbury,37.76973000,-122.44695000,entire home/apt,150.00,30,174,2024-07-14,1.10,1,121,,2
1158026064270958729,Eclectic Living in Nob Hill,148427269,Amsi,Nob Hill,37.79022120,-122.41669130,entire home/apt,0.00,30,0,,,10,0,,0
970585764773485914,Luminous Dolores Heights Bedroom,34742746,Mark,Castro/Upper Market,37.75845589,-122.43139432,private room,0.00,5,4,2024-07-28,0.33,1,3,2023-000617STR,4
901647229147550566,Lux Master Suite Private Bath *15 mins from SFO*,73133543,Stephannie,Ocean View,37.72363739,-122.46041159,private room,0.00,30,1,2024-07-22,0.67,3,0,,1
902280013972025861,Newly remodeled two bedrooms with private bathroom,294446822,Jun & Millo,Mission,37.76760017,-122.41788910,private room,0.00,1,2,2023-10-14,0.14,2,0,2023-010502STR,1
5253001,"South Beach Condo Loft, 2 Car Parking, Deck + AC",988375,Jennifer,South of Market,37.78664000,-122.39308000,entire home/apt,0.00,30,3,2023-06-30,0.04,18,0,,0
5286047,Stylish NOPA Pad,1674453,Adam,Western Addition,37.77773000,-122.44181000,entire home/apt,0.00,4,74,2024-08-31,0.64,1,0,STR-0007930,20
5537718,A Modern Architectural Home,10665750,Melodie,Bernal Heights,37.74077000,-122.41870000,entire home/apt,0.00,5,15,2024-03-25,0.20,1,4,2022-011622STR,1
5548977,The Real San Francisco,6076870,Todd And Tatyana,Outer Richmond,37.78172000,-122.49235000,entire home/apt,0.00,2,575,2023-09-03,4.99,2,0,STR-0000292,0
6020579,Family-Friendly in Bernal Heights,26977960,Janine,Bernal Heights,37.73650000,-122.41273000,entire home/apt,0.00,4,10,2024-01-02,0.09,1,0,2023-002434STR,1
6042966,Mission Victorian with Hot Tub and Parking,6840506,Wendy,Mission,37.75760000,-122.41654000,entire home/apt,0.00,4,33,2023-07-14,0.29,1,0,2022-003485STR,0
10058134,Huge Sunny 2BR Close to Everything!,81879,Gloria,Western Addition,37.78461000,-122.44460000,entire home/apt,0.00,3,143,2024-08-25,1.36,1,2,STR-0003744,15
6272183,Cozy Studio by Golden Gate Park,32300861,Elizabeth,Inner Sunset,37.76284000,-122.45487000,entire home/apt,0.00,30,75,2017-12-22,0.66,1,0,1022635,0
6324586,"Beautiful, Family-Friendly Flat in Sunny Mission",32912359,Laura,Mission,37.75030000,-122.40985000,entire home/apt,0.00,5,10,2023-06-26,0.09,1,0,STR-0000467,0
6526344,One bedroom in a 2/1 Mission Apt,11053358,Jared,Mission,37.76314000,-122.42136000,private room,0.00,60,2,2017-08-15,0.02,1,0,,0
6609412,Sunny Noe Valley house with backyard,12922607,Stephanie,Noe Valley,37.74929000,-122.42732000,entire home/apt,0.00,2,41,2024-03-20,0.36,1,12,STR-0004898,3
6641465,Modern 1BR Apt in Central SF!,34760521,Whei,Western Addition,37.78108000,-122.44051000,entire home/apt,0.00,30,23,2024-08-11,0.21,1,15,,6
6649234,SF Hotel Studio: Union Square (5),22267033,Jennifer,Downtown/Civic Center,37.78698000,-122.41125000,entire home/apt,0.00,2,10,2020-02-28,0.09,19,361,License not needed per OSTR,0
6836928,Huge & Sunny 3 Bedroom Loft w/ parking 30 day min,4486349,Pegah,South of Market,37.77622000,-122.40601000,entire home/apt,0.00,30,18,2018-05-21,0.16,1,365,City registration pending,0
6885422,Lovely bright home in best location,335127,Irene,Noe Valley,37.75024000,-122.42752000,entire home/apt,0.00,3,54,2024-09-01,0.49,1,17,STR-0000697,6
7034114,Spacious and Sunny Noe Valley Gem!,8280568,Barbara,Noe Valley,37.74677000,-122.42480000,private room,0.00,2,77,2024-07-17,0.69,2,2,STR-0005252,11
7093018,Cute part of the city near Bart,37176998,Chelsea,Outer Mission,37.73136000,-122.44022000,private room,0.00,30,2,2015-08-30,0.02,1,0,,0
7146663,Studio Suite at The Donatello Hotel,37425993,David,Downtown/Civic Center,37.78778000,-122.41029000,entire home/apt,0.00,3,4,2022-09-22,0.04,2,0,Exempt,0
7483031,"Cozy 2BR Apt w/Parking-Excelsior, S.F.",39190942,Jean & Alfredo,Excelsior,37.72254000,-122.43443000,entire home/apt,0.00,3,306,2024-08-17,2.78,1,0,STR-0000623,24
7754018,Union Square Hotel Studio (4),22267033,Jennifer,Downtown/Civic Center,37.78659000,-122.41119000,entire home/apt,0.00,2,13,2019-11-22,0.12,19,361,License not needed per OSTR,0
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,Outer Richmond,37.78065000,-122.49428000,entire home/apt,0.00,1,104,2023-08-14,1.03,2,0,STR-0000292,0
7983070,Spacious & Sunny 4BR / 2.5BA Home,16688525,Amy& Michael,Presidio Heights,37.78323000,-122.45480000,entire home/apt,0.00,2,72,2024-03-25,0.67,2,0,STR-0005819,1
8068539,Modern 3Bd Edwardian Renovated Flat,10162964,Shelley,Mission,37.75803000,-122.42347000,entire home/apt,0.00,30,18,2024-06-03,0.17,6,363,,3
8270952,Bamboo Bungalow -  Cozy &  Most Convenient,43611629,Bruce,Castro/Upper Market,37.76380900,-122.43099200,entire home/apt,0.00,30,40,2023-09-09,0.37,1,11,,1
